customer_id,age,gender,province,main_channel,favorite_category,first_purchase_date,last_purchase_date,recency_days,total_orders,total_spend_thb,avg_order_value_thb,pdpa_marketing_consent,line_oa_member
C0239,31,M,กรุงเทพฯ,Website,Haircare,2025-05-18,2026-06-11,20,30,37045,1234,Yes,Yes
C0240,45,F,ระยอง,Website,Skincare,2025-06-03,2026-06-27,4,15,26591,1773,Yes,Yes
C0241,60,F,ปทุมธานี,Website,Supplements,2025-11-24,2026-01-20,162,9,10251,1122,Yes,No
C0242,58,N/A,นนทบุรี,Lazada,Makeup,2024-12-01,2026-05-26,36,5,4148,845,Yes,No
C0243,22,F,กรุงเทพฯ,Website,Skincare,2025-01-23,2026-06-19,12,39,113885,2923,Yes,Yes
C0244,50,M,นครราชสีมา,Shopee,Supplements,2025-08-26,2025-08-26,309,1,617,453,Yes,Yes
C0245,52,M,ชลบุรี,Shopee,Skincare,2025-07-08,2026-01-13,169,6,3414,585,Yes,No
C0246,25,M,ระยอง,Shopee,Makeup,2025-03-06,2026-06-23,8,34,101538,2991,Yes,Yes
C0247,40,F,กรุงเทพฯ,Website,Makeup,2024-12-27,2026-06-18,13,5,6503,1324,Yes,No
C0248,51,F,นนทบุรี,TikTok Shop,Skincare,2025-08-25,2026-06-29,2,2,859,420,Yes,No
C0249,24,M,กรุงเทพฯ,Shopee,Supplements,2025-01-21,2025-11-08,235,4,3924,1011,Yes,Yes
C0250,27,M,ภูเก็ต,Shopee,Skincare,2025-04-27,2026-06-23,8,39,48736,1250,No,Yes
C0251,35,M,กรุงเทพฯ,Lazada,Supplements,2025-06-18,2026-06-10,21,2,1226,529,Yes,Yes
C0252,38,F,กรุงเทพฯ,LINE OA,Skincare,2025-07-09,2026-06-22,9,5,4994,1010,Yes,Yes
C0253,30,F,นนทบุรี,TikTok Shop,Haircare,2026-06-07,2026-06-07,24,1,827,775,Yes,No
C0254,37,F,กรุงเทพฯ,LINE OA,Skincare,2025-05-11,2026-06-30,1,29,75722,2618,Yes,Yes
C0255,32,F,อุดรธานี,Shopee,Supplements,2025-07-04,2025-07-04,362,1,250,322,Yes,No
C0256,55,F,กรุงเทพฯ,Website,Makeup,2026-03-12,2026-06-26,5,15,49051,3270,Yes,No
C0257,30,F,สมุทรปราการ,TikTok Shop,Skincare,2026-02-24,2026-06-10,21,2,1187,634,Yes,Yes
C0258,46,F,อุดรธานี,Lazada,Skincare,2025-03-19,2025-11-16,227,7,4555,623,Yes,Yes
C0259,40,M,กรุงเทพฯ,Shopee,Makeup,2025-08-26,2026-06-06,25,5,4264,820,Yes,Yes
C0260,47,F,กรุงเทพฯ,Website,Skincare,2026-02-07,2026-06-13,18,24,73175,3052,Yes,Yes
C0261,55,N/A,กรุงเทพฯ,Website,Makeup,2026-02-23,2026-06-19,12,38,108050,2840,No,Yes
C0262,25,F,นครราชสีมา,Shopee,Skincare,2025-06-09,2025-06-09,387,1,446,477,Yes,Yes
C0263,35,F,กรุงเทพฯ,Shopee,Skincare,2025-10-21,2026-05-30,32,5,4864,991,No,Yes
C0264,42,F,เชียงใหม่,Lazada,Skincare,2025-01-01,2025-11-13,230,7,6291,921,Yes,No
C0265,40,F,ปทุมธานี,Shopee,Makeup,2025-06-13,2025-06-13,383,1,523,528,Yes,Yes
C0266,21,F,กรุงเทพฯ,TikTok Shop,Supplements,2025-07-24,2026-06-06,25,7,4197,626,Yes,Yes
C0267,52,N/A,กรุงเทพฯ,TikTok Shop,Supplements,2025-10-31,2025-10-31,243,1,250,301,No,Yes
C0268,33,M,กรุงเทพฯ,LINE OA,Makeup,2025-06-06,2026-01-02,180,10,8858,897,Yes,No
C0269,52,F,กรุงเทพฯ,Shopee,Skincare,2024-12-07,2026-05-25,37,2,1658,881,Yes,Yes
C0270,39,F,กรุงเทพฯ,LINE OA,Haircare,2026-01-08,2026-06-20,11,27,32357,1202,No,No
C0271,41,F,ปทุมธานี,LINE OA,Haircare,2026-03-15,2026-06-27,4,34,60506,1780,Yes,No
C0272,57,F,กรุงเทพฯ,Website,Supplements,2024-10-18,2026-06-15,16,17,50702,2989,Yes,No
C0273,43,F,นนทบุรี,TikTok Shop,Supplements,2024-10-11,2026-06-19,12,2,1019,430,Yes,No
C0274,49,N/A,กรุงเทพฯ,Lazada,Skincare,2025-11-07,2025-11-07,236,1,416,563,Yes,Yes
C0275,33,M,กรุงเทพฯ,Lazada,Haircare,2025-05-08,2026-01-07,175,4,4679,1186,Yes,No
C0276,52,F,อุดรธานี,Lazada,Makeup,2025-05-07,2026-05-31,31,11,8463,770,No,No
C0277,24,M,ระยอง,Shopee,Skincare,2025-08-31,2026-06-24,7,12,8063,675,Yes,Yes
C0278,48,F,นนทบุรี,Lazada,Haircare,2025-10-08,2025-10-08,266,1,411,297,Yes,No
C0279,52,F,ขอนแก่น,LINE OA,Skincare,2024-10-24,2026-06-13,18,6,5643,939,Yes,Yes
C0280,36,F,กรุงเทพฯ,Lazada,Supplements,2025-11-21,2026-03-20,103,7,4617,657,Yes,Yes
C0281,48,F,กรุงเทพฯ,Website,Makeup,2025-03-16,2026-05-27,35,9,6104,683,Yes,Yes
C0282,47,F,ขอนแก่น,Lazada,Skincare,2025-02-20,2026-06-15,16,11,10692,978,No,No
C0283,32,F,นครราชสีมา,Website,Makeup,2024-04-11,2026-01-04,178,4,4747,1184,No,No
C0284,20,M,อุดรธานี,Lazada,Makeup,2024-11-24,2026-02-01,150,7,7442,1086,No,No
C0285,30,F,เชียงใหม่,LINE OA,Skincare,2025-10-22,2026-06-25,6,36,109289,3039,Yes,No
C0286,42,F,กรุงเทพฯ,LINE OA,Makeup,2026-02-21,2026-06-20,11,31,69770,2256,Yes,No
C0287,54,N/A,เชียงใหม่,Shopee,Makeup,2025-12-05,2026-06-04,27,3,2381,835,Yes,No
C0288,59,F,กรุงเทพฯ,LINE OA,Makeup,2025-04-12,2026-06-08,23,2,1631,848,Yes,Yes
C0289,21,F,กรุงเทพฯ,Lazada,Haircare,2025-06-24,2026-03-24,99,9,8168,911,No,No
C0290,37,F,ปทุมธานี,LINE OA,Fragrance,2026-01-04,2026-06-20,11,12,15660,1312,Yes,No
C0291,51,F,กรุงเทพฯ,Shopee,Supplements,2024-07-02,2025-12-10,203,4,2776,692,No,Yes
C0292,30,F,กรุงเทพฯ,LINE OA,Supplements,2025-11-02,2026-05-28,34,2,690,438,Yes,Yes
C0293,50,F,ปทุมธานี,Shopee,Makeup,2025-11-13,2025-11-13,230,1,647,610,No,No
C0294,34,F,กรุงเทพฯ,Lazada,Haircare,2025-04-20,2025-11-03,240,5,4901,985,Yes,Yes
C0295,59,M,กรุงเทพฯ,TikTok Shop,Makeup,2026-06-16,2026-06-16,15,1,463,526,Yes,No
C0296,34,M,กรุงเทพฯ,TikTok Shop,Haircare,2025-06-03,2026-02-17,134,5,5614,1162,No,No
C0297,51,F,นครราชสีมา,Shopee,Supplements,2025-01-01,2025-12-06,207,7,6037,857,Yes,Yes
C0298,56,F,กรุงเทพฯ,Lazada,Skincare,2025-09-29,2025-09-29,275,1,783,679,Yes,Yes
C0299,30,M,นครราชสีมา,TikTok Shop,Skincare,2025-02-25,2026-01-26,156,10,7963,783,Yes,No
C0300,36,F,ชลบุรี,TikTok Shop,Skincare,2024-09-05,2026-02-26,125,6,7317,1197,Yes,Yes
